folder,file,status,problem_type,total_blocked_pct,obstacle_pct,damage_pct
lat phrao(chok chai 4-Liap duan) (fixed),13.787657_100.606379_rauoJ6HGuYcZwUzU1u09wQ_210_2025-10.jpg,SAFE,None,1.39,1.39,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787662_100.606715_zddgrcayoswG4cAjFv6Muw_30_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787703_100.606297_NmULdJQiiC5rKsBchE_BBQ_210_2025-10.jpg,SAFE,None,5.4,5.4,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787707_100.606634_YvtYnfPJxhwv7FJNr_W0ag_30_2025-10.jpg,SAFE,None,6.13,6.13,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787752_100.606553_6sCyYoJmSLKP_G87etZpWQ_30_2025-10.jpg,SAFE,None,1.52,1.52,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787772_100.606174_rHn-KfedBI9pmCUTZsRYGw_210_2025-10.jpg,SAFE,None,2.16,2.16,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787797_100.606472_vwgzwbwYJqG9jFHL91vWUw_30_2025-10.jpg,SAFE,None,3.02,3.02,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787817_100.606093_5AArlj4oQJZgTHxj1lmYig_210_2025-10.jpg,SAFE,None,14.01,14.01,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787843_100.606391_F1MuKbc_OwJBZVN9plS0hQ_30_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787862_100.606013_6UOz597TpX4VEK8clJniig_210_2025-10.jpg,SAFE,None,3.61,3.61,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787889_100.606309_ymhn0UsCpVA5eGtoNi6i-w_30_2025-10.jpg,SAFE,None,2.05,2.05,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787907_100.605932_jSymbgic0W9a6UFZ_klW6A_210_2025-10.jpg,SAFE,None,1.01,1.01,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787936_100.606227_i-K5kS3xnTGh9ahIurROVA_30_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787953_100.605849_613O3a712olXw6zn5zG4Xg_210_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787982_100.606146_tVJ63v63L7y98yAjcFt2JA_30_2025-10.jpg,SAFE,None,0.72,0.72,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.787999_100.605767_wz2TkO9Y7Yf4iS2DlX3OPQ_210_2025-10.jpg,SAFE,None,0.66,0.66,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788028_100.606065_k70TW_tou6zy3uQcEHMVoQ_30_2025-10.jpg,SAFE,None,0.82,0.82,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788044_100.605686_xDrph1RulvFyJFvwksVMwg_210_2025-10.jpg,SAFE,None,1.61,1.61,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788089_100.605606_VNip7jN2eQCG7QhG26iKtQ_210_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788097_100.605943_S_Z-WaUbt13Tuu2KovP0Fg_30_2025-10.jpg,SAFE,None,0.76,0.76,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788111_100.605566_RkK_b4Im2X5O8hk4ye3Rwg_210_2025-10.jpg,SAFE,None,1.68,1.68,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788142_100.605861_cRk6UYPqcr-pX-mx-w4Xuw_30_2025-10.jpg,SAFE,None,1.73,1.73,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788155_100.605487_2YQgcJNf6h4ZvqU6Oa7QWw_210_2025-10.jpg,SAFE,None,0.62,0.62,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788187_100.605779_csTMyfdXFkDHT4qgUKOzFA_30_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788199_100.605408_9zYMUfyEI_eRv071RJss7A_210_2025-10.jpg,SAFE,None,1.99,1.99,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788232_100.605697_eFyBFNQkmJ8HWBSj1DKC8Q_30_2025-10.jpg,SAFE,None,11.34,5.59,5.74
lat phrao(chok chai 4-Liap duan) (fixed),13.788243_100.605330_sV79PG5uKlqeGu4xGAsK-Q_210_2025-10.jpg,SAFE,None,17.11,17.11,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788277_100.605614_s8wQbl0LR6rQbeUy99Ihew_30_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788286_100.605254_RCQQDOHUwWs5fD6OVEf_Jg_210_2025-10.jpg,SAFE,None,6.5,6.5,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788321_100.605533_Tpc6WrUIlUK6DvbjjnbftA_30_2025-10.jpg,SAFE,None,6.76,6.76,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788366_100.605452_9uOJ778Pgi-fC-LGaIra0g_29_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788388_100.605411_kUkiFYHmPB_7KkelRDeepw_30_2025-10.jpg,SAFE,None,2.44,2.44,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788393_100.605079__pCzluWEl3Zj2gVjxSzBTQ_211_2025-10.jpg,SAFE,None,17.37,17.37,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788434_100.605329_RYWyO4VDCjC89O5xm03Avw_30_2025-10.jpg,SAFE,None,7.8,5.75,2.05
lat phrao(chok chai 4-Liap duan) (fixed),13.788452_100.604991_0URv_jtpxy1MtrdEIIf8-g_210_2025-10.jpg,SAFE,None,7.91,7.91,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788480_100.605248_iXq0j8BWg5pvABNB8F1q1w_30_2025-10.jpg,SAFE,None,1.35,1.35,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788506_100.604907_6vFUUwi3h3YLPmzq4U0Qig_210_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788527_100.605166_lnmHTFqOT0-r3HnVj78bdQ_30_2025-10.jpg,SAFE,None,7.15,7.15,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788533_100.604864_t2Sz7OFOo71XtG0JOZumkA_213_2025-10.jpg,SAFE,None,2.18,2.18,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788573_100.605084_IcR9BL61I50hYCjJQClL2w_30_2025-10.jpg,SAFE,None,1.2,1.2,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788585_100.604781_WdOoi6dR5ebfzkHGWfHcWg_213_2025-10.jpg,SAFE,None,5.07,5.07,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788618_100.605002_jHxYxNJbn-wMWxMNKqIVog_30_2025-10.jpg,SAFE,None,6.55,0.1,6.45
lat phrao(chok chai 4-Liap duan) (fixed),13.788635_100.604701_OBaUCO03KEHebIPKuoLOKA_210_2025-10.jpg,SAFE,None,1.65,1.65,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788641_100.604961_C2tMg_A_YkobuitQUqXKjQ_30_2025-10.jpg,SAFE,None,4.25,4.25,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788660_100.604661_NyatUnOv-BBaT6AJVeHZiw_210_2025-10.jpg,SAFE,None,2.76,2.76,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788686_100.604880_k9_243S01hZ3CoJNxDEvpA_30_2025-10.jpg,SAFE,None,6.09,6.09,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788709_100.604583_q1v-CeRnJ3hHX0Y3b_AlNg_210_2025-10.jpg,SAFE,None,0.78,0.78,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788730_100.604798_pCLIjM8S3lr14sNx4xCkOA_30_2025-10.jpg,SAFE,None,5.06,5.06,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788757_100.604504_jUm_ZKSMaEovviQVKQdhqA_210_2025-10.jpg,SAFE,None,0.39,0.39,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788775_100.604717_nhJAm054W-ii5m70uYas1g_30_2025-10.jpg,SAFE,None,3.52,3.52,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788804_100.604425_ix-d_LZ7b3-K_Zn7xksvuA_210_2025-10.jpg,SAFE,None,0.38,0.38,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788820_100.604634_RalRrEVtkXot3Nc1GYW8bg_30_2025-10.jpg,SAFE,None,0.34,0.34,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788865_100.604553_By77N1YFecabNSYA0bNo5Q_30_2025-10.jpg,SAFE,None,3.18,2.68,0.5
lat phrao(chok chai 4-Liap duan) (fixed),13.788874_100.604307_8bj6vHok7f5E5alYislkIw_210_2025-10.jpg,SAFE,None,0.51,0.51,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788898_100.604267_9vmdE4cZPzErOsYEAuUvWw_210_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788911_100.604472_KeHhlC7oxLTl5sYzU-kPLA_30_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788944_100.604188_P-Q2FWnXbZcwSZOtLH7aNg_210_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.788955_100.604391_UTadvs0juBJnTpzXG_zSvw_30_2025-10.jpg,SAFE,None,0.28,0.28,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789000_100.604308_icHrd5yhWwCsDXsZS6yCfg_30_2025-10.jpg,SAFE,None,2.98,2.98,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789010_100.604074_ukeqGepNMXrQ8zcBFuKy8Q_210_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789045_100.604227_3LK_8K-PlTXsAG7bFP1-oA_30_2025-10.jpg,SAFE,None,0.0,0.0,0.0
